# frame no.	time	no. domains	avg. domain vol. (area)	std. dev.
Less than 0.5
0	0.0000000	4	916.4324464	1021.3117492
1	10.0000000	4	892.8940893	1081.7079650
2	20.0000000	3	1204.1049030	1178.5377207
3	30.0000000	3	1225.9245436	1252.0420207
4	40.0000000	3	1236.5216898	1334.0383323
5	50.0000000	3	1247.2844842	1416.3872789
More than 0.5
0	0.0000000	4	1583.5675536	1604.9601641
1	10.0000000	4	1607.1059107	1693.5669183
2	20.0000000	4	1596.9213227	1734.3077437
3	30.0000000	3	2107.4087897	1747.4617104
4	40.0000000	3	2096.8116435	1784.9280605
5	50.0000000	3	2086.0488491	1822.7371705
