# frame no.	time	no. domains	avg. domain vol. (area)	std. dev.
Less than 0.5
0	0.0000000	1	2618.9118837	0.0000000
1	4.0000000	1	2619.0013797	0.0000000
2	8.0000000	1	2619.0491854	0.0000000
3	12.0000000	1	2619.0912922	0.0000000
4	16.0000000	1	2619.1325158	0.0000000
5	20.0000000	1	2619.1711773	0.0000000
6	24.0000000	1	2619.2101980	0.0000000
7	28.0000000	1	2619.2504992	0.0000000
8	32.0000000	1	2619.2920465	0.0000000
9	36.0000000	1	2619.3353367	0.0000000
10	40.0000000	1	2619.3806054	0.0000000
11	44.0000000	1	2619.4282032	0.0000000
12	48.0000000	1	2619.4784755	0.0000000
13	52.0000000	1	2619.5317853	0.0000000
14	56.0000000	1	2619.5885135	0.0000000
15	60.0000000	1	2619.6479642	0.0000000
16	64.0000000	1	2619.7094953	0.0000000
17	68.0000000	1	2619.7749415	0.0000000
18	72.0000000	1	2619.8448668	0.0000000
19	76.0000000	1	2619.9179285	0.0000000
20	80.0000000	1	2619.9925235	0.0000000
21	84.0000000	1	2620.0738328	0.0000000
22	88.0000000	1	2620.1652046	0.0000000
23	92.0000000	1	2620.2716990	0.0000000
24	96.0000000	1	2620.4003070	0.0000000
25	100.0000000	1	2620.5450601	0.0000000
26	104.0000000	1	2620.7392336	0.0000000
27	108.0000000	1	2621.0528847	0.0000000
28	112.0000000	1	2621.4400781	0.0000000
29	116.0000000	1	2621.4400781	0.0000000
30	120.0000000	1	2621.4400781	0.0000000
More than 0.5
0	0.0000000	1	2.5281944	0.0000000
1	4.0000000	1	2.4386984	0.0000000
2	8.0000000	1	2.3908927	0.0000000
3	12.0000000	1	2.3487860	0.0000000
4	16.0000000	1	2.3075623	0.0000000
5	20.0000000	1	2.2689009	0.0000000
6	24.0000000	1	2.2298802	0.0000000
7	28.0000000	1	2.1895789	0.0000000
8	32.0000000	1	2.1480317	0.0000000
9	36.0000000	1	2.1047414	0.0000000
10	40.0000000	1	2.0594727	0.0000000
11	44.0000000	1	2.0118750	0.0000000
12	48.0000000	1	1.9616026	0.0000000
13	52.0000000	1	1.9082928	0.0000000
14	56.0000000	1	1.8515646	0.0000000
15	60.0000000	1	1.7921139	0.0000000
16	64.0000000	1	1.7305829	0.0000000
17	68.0000000	1	1.6651366	0.0000000
18	72.0000000	1	1.5952113	0.0000000
19	76.0000000	1	1.5221496	0.0000000
20	80.0000000	1	1.4475546	0.0000000
21	84.0000000	1	1.3662454	0.0000000
22	88.0000000	1	1.2748735	0.0000000
23	92.0000000	1	1.1683792	0.0000000
24	96.0000000	1	1.0397711	0.0000000
25	100.0000000	1	0.8950180	0.0000000
26	104.0000000	1	0.7008445	0.0000000
27	108.0000000	1	0.3871934	0.0000000
28	112.0000000	0	0.0000000	0.0000000
29	116.0000000	0	0.0000000	0.0000000
30	120.0000000	0	0.0000000	0.0000000
