Step	Time	Interfacial Area
0	0.0	6.94586
1	40.0	6.97435
2	80.0	7.01349
3	120.0	7.05480
4	160.0	7.09896
5	200.0	7.14579
6	240.0	7.19544
7	280.0	7.24828
8	320.0	7.30631
9	360.0	7.36821
10	400.0	7.43472
11	440.0	7.50773
12	480.0	7.58993
13	520.0	7.68394
14	560.0	7.78920
15	600.0	7.90317
16	640.0	8.02452
17	680.0	8.11794
18	720.0	8.18454
19	760.0	8.24855
20	800.0	8.30591
21	840.0	8.38769
22	880.0	8.53114
23	920.0	8.64607
24	960.0	8.74963
25	1000.0	8.95840
26	1040.0	9.14714
27	1080.0	9.31809
28	1120.0	9.46362
29	1160.0	9.59149
30	1200.0	9.69516
31	1240.0	9.86426
32	1280.0	10.07617
33	1320.0	10.27165
34	1360.0	10.44627
35	1400.0	10.59358
36	1440.0	10.74046
37	1480.0	10.90453
38	1520.0	11.02456
39	1560.0	11.30206
40	1600.0	11.52745
41	1640.0	11.65200
42	1680.0	11.76785
43	1720.0	11.90093
44	1760.0	12.07645
45	1800.0	12.20052
46	1840.0	12.29203
47	1880.0	12.36531
48	1920.0	12.55646
49	1960.0	12.71699
50	2000.0	12.92902
