Step	Time	fraction_1	fraction_0
 0	0.0	0.02508	0.97492
 1	40.0	0.02508	0.97492
 2	80.0	0.02508	0.97492
 3	120.0	0.02508	0.97492
 4	160.0	0.02508	0.97492
 5	200.0	0.02508	0.97492
 6	240.0	0.02508	0.97492
 7	280.0	0.02508	0.97492
 8	320.0	0.02508	0.97492
 9	360.0	0.02508	0.97492
 10	400.0	0.02508	0.97492
 11	440.0	0.02508	0.97492
 12	480.0	0.02508	0.97492
 13	520.0	0.02508	0.97492
 14	560.0	0.02508	0.97492
 15	600.0	0.02508	0.97492
 16	640.0	0.02508	0.97492
 17	680.0	0.02508	0.97492
 18	720.0	0.02508	0.97492
 19	760.0	0.02508	0.97492
 20	800.0	0.02508	0.97492
 21	840.0	0.02508	0.97492
 22	880.0	0.02508	0.97492
 23	920.0	0.02508	0.97492
 24	960.0	0.02508	0.97492
 25	1000.0	0.02508	0.97492
 26	1040.0	0.02508	0.97492
 27	1080.0	0.02508	0.97492
 28	1120.0	0.02508	0.97492
 29	1160.0	0.02508	0.97492
 30	1200.0	0.02508	0.97492
 31	1240.0	0.02508	0.97492
 32	1280.0	0.02508	0.97492
 33	1320.0	0.02508	0.97492
 34	1360.0	0.02508	0.97492
 35	1400.0	0.02508	0.97492
 36	1440.0	0.02508	0.97492
 37	1480.0	0.02508	0.97492
 38	1520.0	0.02508	0.97492
 39	1560.0	0.02507	0.97493
 40	1600.0	0.02507	0.97493
 41	1640.0	0.02507	0.97493
 42	1680.0	0.02507	0.97493
 43	1720.0	0.02507	0.97493
 44	1760.0	0.02507	0.97493
 45	1800.0	0.02507	0.97493
 46	1840.0	0.02507	0.97493
 47	1880.0	0.02507	0.97493
 48	1920.0	0.02507	0.97493
 49	1960.0	0.02507	0.97493
 50	2000.0	0.02507	0.97493
