# frame no.	time	no. domains	avg. domain vol. (area)	std. dev.
Less than 0.5
0	0.0000000	343	3.9234663	70.3843979
1	4.0000000	96	13.6357477	62.4436956
2	8.0000000	66	19.8139895	82.3490155
3	12.0000000	47	27.8606663	84.9845938
4	16.0000000	39	33.5689257	104.7798641
5	20.0000000	35	37.3811933	138.0960972
6	24.0000000	33	39.6512618	127.7733310
7	28.0000000	30	43.6533232	153.4410691
8	32.0000000	29	45.1736302	146.7589820
9	36.0000000	29	45.1438140	102.5766664
10	40.0000000	28	46.7432698	105.5960805
11	44.0000000	28	46.7270696	105.9148037
12	48.0000000	31	42.1774724	98.5029167
13	52.0000000	31	42.1700103	98.7398808
14	56.0000000	29	45.0870423	102.9253807
15	60.0000000	29	45.0779419	103.1635401
16	64.0000000	28	46.6904222	104.8722654
17	68.0000000	28	46.7014370	105.1351885
18	72.0000000	26	50.2906818	108.5468201
19	76.0000000	26	50.2875966	108.6954838
20	80.0000000	25	52.3134558	110.4994666
21	84.0000000	24	54.4989959	112.4477832
22	88.0000000	24	54.5039077	112.5667686
23	92.0000000	22	59.4878659	116.8425824
24	96.0000000	22	59.4671207	116.8814750
25	100.0000000	22	59.4530258	116.9612659
26	104.0000000	21	62.2960723	119.3776959
27	108.0000000	21	62.3009995	119.4901699
28	112.0000000	21	62.3056273	119.6035156
29	116.0000000	21	62.2934551	119.7002787
30	120.0000000	20	65.4062591	121.9233567
31	124.0000000	20	65.4092235	122.0549849
32	128.0000000	20	65.4130294	122.1742025
33	132.0000000	20	65.4141082	122.2883401
34	136.0000000	20	65.4142729	122.4018614
35	140.0000000	20	65.4043579	122.5114291
36	144.0000000	19	68.8440152	124.8604649
37	148.0000000	19	68.8447378	124.9887662
38	152.0000000	18	72.6700050	127.4477260
39	156.0000000	17	76.9434913	130.0183066
40	160.0000000	17	76.9439650	130.1438746
41	164.0000000	17	76.9406620	130.2661813
42	168.0000000	16	81.7623872	137.8195217
43	172.0000000	16	81.7764766	137.9742923
44	176.0000000	16	81.7813562	138.0976819
45	180.0000000	16	81.7760862	138.2099332
46	184.0000000	16	81.7760435	138.3292212
47	188.0000000	16	81.7795990	138.4616034
48	192.0000000	16	81.7806601	138.5825882
49	196.0000000	16	81.7791504	138.7136888
50	200.0000000	16	81.7809673	138.8411054
More than 0.5
0	0.0000000	2206	0.5782825	2.8940558
1	4.0000000	90	14.5823144	76.4811690
2	8.0000000	56	23.4592280	96.2495843
3	12.0000000	43	30.5113665	99.0525264
4	16.0000000	33	39.7652114	95.0071875
5	20.0000000	22	59.6862870	111.5381434
6	24.0000000	22	59.6794745	114.1400525
7	28.0000000	25	52.4736153	105.3938579
8	32.0000000	24	54.6418667	109.4204589
9	36.0000000	23	57.0551945	146.7905068
10	40.0000000	21	62.5061202	154.1516961
11	44.0000000	20	65.6541065	157.8611098
12	48.0000000	18	72.9965797	169.9847802
13	52.0000000	18	73.0094310	170.3440186
14	56.0000000	17	77.2891677	175.1118100
15	60.0000000	17	77.3046919	175.4124576
16	64.0000000	17	77.3004858	175.6717810
17	68.0000000	17	77.2823437	175.9031756
18	72.0000000	14	93.8487393	190.1734288
19	76.0000000	14	93.8544690	190.4764376
20	80.0000000	14	93.8288345	190.6527289
21	84.0000000	13	101.0357059	196.2466381
22	88.0000000	13	101.0266380	196.4641663
23	92.0000000	13	100.9774636	196.6295536
24	96.0000000	12	109.4302852	202.6664079
25	100.0000000	12	109.4561259	202.8689790
26	104.0000000	13	101.0171199	196.3509784
27	108.0000000	13	101.0091607	196.4857228
28	112.0000000	13	101.0016850	196.6226813
29	116.0000000	13	101.0213478	196.8290920
30	120.0000000	12	109.4429081	206.0747873
31	124.0000000	12	109.4379673	206.2163861
32	128.0000000	12	109.4316241	206.3505967
33	132.0000000	12	109.4298261	206.5018063
34	136.0000000	12	109.4295517	206.6514018
35	140.0000000	12	109.4460766	206.8484026
36	144.0000000	11	119.4003445	218.9546923
37	148.0000000	11	119.3990963	219.1388703
38	152.0000000	10	131.3379988	227.4085861
39	156.0000000	9	145.9334141	235.5966710
40	160.0000000	9	145.9325192	235.7844255
41	164.0000000	9	145.9387582	236.0059837
42	168.0000000	9	145.9157648	236.1337351
43	172.0000000	9	145.8907169	236.2682896
44	176.0000000	9	145.8820420	236.4507465
45	180.0000000	9	145.8914110	236.6815200
46	184.0000000	9	145.8914868	236.8732599
47	188.0000000	9	145.8851660	237.0784765
48	192.0000000	9	145.8832796	237.2826292
49	196.0000000	9	145.8859634	237.5156711
50	200.0000000	9	145.8827335	237.7181870
