Step	Time	Interfacial Area
0	0.0	10617.31811
1	4.0	3328.10270
2	8.0	2736.83275
3	12.0	2377.18003
4	16.0	2144.46928
5	20.0	1966.50107
6	24.0	1834.66793
7	28.0	1729.87892
8	32.0	1648.55791
9	36.0	1586.43053
10	40.0	1529.86763
11	44.0	1481.40543
12	48.0	1441.96137
13	52.0	1404.91673
14	56.0	1373.22144
15	60.0	1342.26177
16	64.0	1314.20008
17	68.0	1289.43496
18	72.0	1265.18575
19	76.0	1243.23493
20	80.0	1223.15768
21	84.0	1204.53860
22	88.0	1188.05329
23	92.0	1168.36735
24	96.0	1151.22785
25	100.0	1135.64634
26	104.0	1121.14046
27	108.0	1106.83963
28	112.0	1094.66347
29	116.0	1081.71950
30	120.0	1070.36509
31	124.0	1058.75250
32	128.0	1048.47168
33	132.0	1037.65651
34	136.0	1028.08104
35	140.0	1017.81262
36	144.0	1008.76666
37	148.0	998.95280
38	152.0	990.13133
39	156.0	980.95145
40	160.0	972.78891
41	164.0	964.37280
42	168.0	957.15290
43	172.0	947.74835
44	176.0	940.37686
45	180.0	932.75239
46	184.0	926.09945
47	188.0	919.32189
48	192.0	913.39638
49	196.0	907.24402
50	200.0	901.68447
