Step	Time	fraction_1	fraction_0
 0	0.0	0.49999	0.50001
 1	4.0	0.49999	0.50001
 2	8.0	0.49999	0.50001
 3	12.0	0.49999	0.50001
 4	16.0	0.49999	0.50001
 5	20.0	0.49999	0.50001
 6	24.0	0.49999	0.50001
 7	28.0	0.49999	0.50001
 8	32.0	0.49999	0.50001
 9	36.0	0.49999	0.50001
 10	40.0	0.50000	0.50000
 11	44.0	0.50000	0.50000
 12	48.0	0.50000	0.50000
 13	52.0	0.50000	0.50000
 14	56.0	0.50000	0.50000
 15	60.0	0.50000	0.50000
 16	64.0	0.50001	0.49999
 17	68.0	0.50001	0.49999
 18	72.0	0.50001	0.49999
 19	76.0	0.50001	0.49999
 20	80.0	0.50001	0.49999
 21	84.0	0.50001	0.49999
 22	88.0	0.50001	0.49999
 23	92.0	0.50001	0.49999
 24	96.0	0.50001	0.49999
 25	100.0	0.50001	0.49999
 26	104.0	0.50001	0.49999
 27	108.0	0.50001	0.49999
 28	112.0	0.50001	0.49999
 29	116.0	0.50001	0.49999
 30	120.0	0.50001	0.49999
 31	124.0	0.50001	0.49999
 32	128.0	0.50001	0.49999
 33	132.0	0.50001	0.49999
 34	136.0	0.50002	0.49998
 35	140.0	0.50002	0.49998
 36	144.0	0.50002	0.49998
 37	148.0	0.50002	0.49998
 38	152.0	0.50002	0.49998
 39	156.0	0.50002	0.49998
 40	160.0	0.50002	0.49998
 41	164.0	0.50002	0.49998
 42	168.0	0.50002	0.49998
 43	172.0	0.50002	0.49998
 44	176.0	0.50002	0.49998
 45	180.0	0.50002	0.49998
 46	184.0	0.50002	0.49998
 47	188.0	0.50002	0.49998
 48	192.0	0.50002	0.49998
 49	196.0	0.50002	0.49998
 50	200.0	0.50002	0.49998
